Id,Followers,Following,Retweet Count,is_retweet,is_mention,Betweenness,Degree,Closeness,Influence Score
Guate_Inmortal_,16869.0,1829.0,195.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,122475.43888432905
radiojud,14978.0,808.0,1.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,107479.29944232905
oUqXP4RXQRmPtlw,13883.0,5046.0,37.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,106275.05195332906
craigthomler,10683.0,10839.0,1.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,92547.44381232906
bo_chart,10698.0,10296.0,22.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,91813.60730832902
BrennpunktUA,12059.0,885.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,86896.08376432906
Chr_Steven_76,9569.0,9989.0,78.5,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,83332.27447532905
OrioliAlberto,9515.0,9713.0,66.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,82521.74554832904
CharlieInUtah,8844.0,9745.0,1.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,77811.03541532905
RAVIMISHRA_TV,9989.0,683.0,2.5,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,71902.36080932905
GeneralPutnam2,8306.0,7503.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,70524.39792532905
anchorjiya,9898.0,147.0,4.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,70427.18158532906
dsshake,8013.0,7845.0,0.0,0.0,0.5,0.0,0.0009881422924901185,0.0009881422924901185,68975.82508632905
futuredude,8089.0,6435.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,67331.94080432906
rsm3919,7739.0,7632.0,38.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,66703.55293732905
cucojose,7250.0,7917.0,20.5,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,63676.28978032905
1foreverseeking,7689.0,5906.0,2.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,63676.09030132905
naalsio26,8694.0,172.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,61926.683304329046
_Alaska_Nina,6481.0,6562.0,10.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,56124.35280532904
ramana1729,6151.0,6719.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,54026.75299032905
Luminaria98,5905.0,6502.0,0.0,0.0,1.0,0.0,0.0009881422924901185,0.0009881422924901185,51946.09927732905
Da_wild_west,5885.0,6291.0,19.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,51477.97928632905
News247gh,7149.0,2.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,50705.904269329054
generalklaus1,5979.0,4874.0,33.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,49951.20403732905
DopeyNortherner,6503.0,2080.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,49341.349081329055
tufkaa,5745.0,5327.0,8.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,48992.413040329055
EthicsSense,4846.0,4767.0,7.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,41749.45448732904
CheriB2022,4635.0,5040.0,9.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,40675.66767132905
debraalv,4609.0,5028.0,7.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,40472.64950132905
swatigar,5034.0,1005.0,41.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,37259.33822532905
Monstercoyliar,4165.0,4515.0,52.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,36530.383464329054
rosalindprestag,4063.0,4852.0,68.5,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,36329.033522329046
Chairman_Meowed,3835.0,4992.0,58.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,34928.518785329055
SmBMSUBronco,3820.0,5003.0,130.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,34840.62900732905
psu4joe,3880.0,4403.0,29.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,34335.218641329055
albafella1,3981.0,3481.0,1.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,33623.57163632905
MelanieLake,4053.0,2867.0,8.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,33183.79198432905
ungubunugu1274,3810.0,3458.0,2.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,32375.202314329046
MFaizanrkhan,3700.0,3748.0,19.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,32044.360916329046
Ewacg,3313.0,4942.0,260.5,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,31153.05415432905
itzmeakashmazz,4277.0,233.0,8.0,0.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,30694.625346329045
40Maurice,4189.0,452.0,5.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,30409.488469329044
George_Cochrane,3182.0,4992.0,4.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,30296.15277232905
KJamake,3130.0,4990.0,7.0,1.0,0.0,0.0,0.0009881422924901185,0.0009881422924901185,29924.31826432905
