Id,Date Created,Number of Likes,Source of Tweet,Tweet,Followers,Following,Retweet Count
deirtagge,2023-02-11 02:54:12+00:00,0,Twitter Web App,"RT @ejmalrai: #France President @EmmanuelMacron said he won't deliver #Ukraine jets in weeks.

Which means in a couple of months. He is pre…",379,1554,25
karenchke,2023-02-11 02:54:10+00:00,0,Twitter for iPhone,"RT @Wenyee_Lee: Scoop: Amidst US-China #chip war, @CommerceGov to send an Export Control Officer (#ECO) to #Taiwan. Currently, #BIS of the…",69,225,55
1foreverseeking,2023-02-11 02:54:07+00:00,0,Twitter Web App,"RT @amborin: The U.S. military depends on Russia's fossil fuels and covets full control over them.

The U.S. war against #Russia is above a…",7689,5906,2
Shashan20797894,2023-02-11 02:54:01+00:00,0,Twitter for Android,"RT @the_hindu: #Russia unleashed strategic bombers, killer drones and rockets in a barrage of attacks across Ukraine, as a military push by…",154,683,1
JohnnyL55189795,2023-02-11 02:53:58+00:00,1,Twitter Web App,"@Paul69405499 @medialens @GeorgeMonbiot #Russia forced the Warsaw Pact on countries that didn't want it, which is w… https://t.co/fL4DitVMVc",61,12,0
ContraOg,2023-02-11 02:53:52+00:00,0,Twitter Web App,#Alaska #UFO shot by #JoeBiden #DOD #Pentagon #ChinaBalloon The #annexation of #Alaska and #TuckerCarlson #Canada… https://t.co/5rcV784CN2,57,109,0
futuredude,2023-02-11 02:53:49+00:00,0,Twitter Web App,Are there still any possibilities for peace negotiations between Russia and Ukraine? https://t.co/BhEqixaXAB… https://t.co/BL8Skbq6gx,8089,6435,0
chance4phun,2023-02-11 02:53:45+00:00,0,Twitter for iPhone,RT @GordonGChang: This is not a drill. We’re now playing for keeps. #China #Russia,49,248,195
SeanMConnolly,2023-02-11 02:53:23+00:00,0,Twitter for iPhone,RT @igorsushko: CNN in #Portugal. Misspelled Zelensky's name and labeled him President of #Russia. https://t.co/ZYdDbHnVFp,357,3762,66
CassandraMakhno,2023-02-11 02:53:20+00:00,0,Twitter Web App,"RT @halyapuff: #Russia tortures #CrimeanTatar political prisoner #DzhemilGafarov to death 
#Ukraine #LetMyPeopleGo #Crimea #StandWithUkrain…",293,412,10
yume6tsumi0,2023-02-11 02:53:13+00:00,0,Twitter for Android,"RT @halyapuff: #Russia passes death sentence on civic #journalist and repeats #Stalin era persecution of #CrimeanTatar family 
#FreeAmetSul…",2811,2547,5
ahlbaytrevive,2023-02-11 02:53:12+00:00,0,Twitter for iPhone,@richimedhurst #War monger #Putin: for someone who doesn't want a war he's been pretty busy. First there was… https://t.co/e8dTm1SSW8,19,26,0
dragonfire55555,2023-02-11 02:52:58+00:00,0,Twitter Web App,"RT @EmineDzheppar: We demand immediate release of all political prisoners, primarily the elderly. They have no time to wait.
We call on int…",676,198,21
Guate_Inmortal_,2023-02-11 02:51:38+00:00,0,Twitter for iPhone,RT @GordonGChang: This is not a drill. We’re now playing for keeps. #China #Russia,16869,1829,195
GhoulPanza,2023-02-11 02:51:33+00:00,0,Twitter Web App,"RT @GeorgeSirdar: Putin says 95% of Global Terrorism is done by the CIA 

#Russia #Iran #India #Putin #USA #Biden #Germany #NATO #Ukraine #…",3,30,27
clauden48363105,2023-02-11 02:51:25+00:00,0,Twitter Web App,"RT @Circonscripti18: 📺 #Russia 🇷🇺 Quand le Chef de la Diplomatie Russe 🇷🇺, #Lavrov, a ironisé sur le président sénile #US 🇺🇸 #Biden complèt…",66,233,243
planetaosasco,2023-02-11 02:51:18+00:00,0,PlanetaOsasco,EUA afirmam que vão concluir destruição de seu arsenal de armas químicas até junho - https://t.co/8vmPeoVJxQ #brasil #EUA #Rússia,1202,7,0
TwoSentenceHorr,2023-02-11 02:51:12+00:00,0,TwoSentenceHorror112,"#Instagram Trends To Keep An Eye On For 2023

#psilocybin #foster #freechapters #lostcoin #ethdenver #horropunk… https://t.co/OgRWBqs4DZ",9,1,0
generalklaus1,2023-02-11 02:51:08+00:00,0,Twitter Web App,"RT @Circonscripti18: 📺 #VladimirPutin: Nous n'avons déclenché aucune hostilité, nous essayons d'y mettre fin.
""Ces hostilités ont été lancé…",5979,4874,33
jamiemcintyre21,2023-02-11 02:51:08+00:00,1,Twitter for iPhone,"What’s scary,is there is so many pro Ukrainians,who watch fake news media,&amp;  actually think Ukraine is winning. No… https://t.co/rP35J6hD98",773,237,0
DonQuixote1950,2023-02-11 02:51:00+00:00,0,Twitter for iPad,"RT @JuliaDavisNews: Back in January, #Russia's state TV experts estimated it would take ""approximately 11 minutes"" to completely overtake #…",1660,2806,1356
CloudF0475,2023-02-11 02:50:34+00:00,0,Twitter Web App,Probably an accurate assessment. Send them to #Russia or maybe #SouthAfrica https://t.co/EJdBTMOK1A,75,89,0
ronaldobianque9,2023-02-11 02:50:34+00:00,0,Twitter Web App,RT @HugoBor73884636: Informações trágicas vêm da direção de Ugledar - lá nossas coluna foi esmagada uniliteralmente - resumindo dezenas de…,1562,5000,0
AnneAnton3,2023-02-11 02:50:26+00:00,0,Twitter Web App,"RT @halyapuff: #Russia tortures #CrimeanTatar political prisoner #DzhemilGafarov to death 
#Ukraine #LetMyPeopleGo #Crimea #StandWithUkrain…",22,163,10
rohanku67440943,2023-02-11 02:50:16+00:00,0,Twitter Web App,"RT @kaafir_indian: Please watch #exmuslim on YouTube 
@NewsNation @ZeeNews @AJEnglish @ExMuslimSameer @ExmuslimSahil @SachwalaTeam @teamsac…",0,5,23
planetaosasco,2023-02-11 02:50:07+00:00,0,PlanetaOsasco,Vučić: Sérvia está no centro da tensão entre o Ocidente e a Rússia - https://t.co/YXnqhGap1B #Belgrado #EUA #Kiev #Rússia #Sérvia #Ucrânia,1202,7,0
GhoulPanza,2023-02-11 02:49:56+00:00,0,Twitter Web App,"RT @crouchendcom: Here is the real  Mr Z
Cocaine Addict and War Criminal

#UkraineRussianWar 
#Russia
#ZelenskyWarCriminal https://t.co/9mW…",3,30,27
antipodal,2023-02-11 02:49:47+00:00,0,Twitter Web App,"@PramilaJayapal The United States defense budget is the highest of all the developed nations. 
Our budget is higher… https://t.co/7P0oxNqFZH",2983,4000,0
antalsma,2023-02-11 02:49:25+00:00,0,Twitter for iPhone,"RT @igorsushko: We do not live in a static world. Things change all the time. Last year, #Russia supplied its small invading force of ~150,…",299,1384,9
meeraharish,2023-02-11 02:49:12+00:00,0,Twitter for iPhone,"Barren trees that tell a story. 

Two decades ago, on my first trip to #Russia . Pic off my Nikon. 

#Moscow… https://t.co/QmEqW1R58H",1007,3110,0
oneindiagujarat,2023-02-11 02:48:59+00:00,0,Oneindia Gujarat,"રશિયા-યુક્રેન યુદ્ધ પર વ્હાઈટ હાઉસનુ મોટુ નિવેદન, જૉન કિર્બીએ કહ્યુ - પીએમ મોદી રોકી શકે છે યુદ્ધ #russia… https://t.co/cEhlj3x50w",22750,2027,0
