,Id1,Id2,Interaction
53,rohanku67440943,SachwalaTeam,RT
53,rohanku67440943,teamsac,RT
55,GhoulPanza,crouchendcom,RT
56,antipodal,PramilaJayapal,Mention
57,antalsma,igorsushko,RT
60,lancecardiac,I_Katchanovski,RT
61,solar_extreme,crouchendcom,RT
62,TherealUncle_J,GordonGChang,RT
63,lindabrown7777,Antiwarcom,RT
64,debraalv,kk131066,RT
65,lindabrown7777,Antiwarcom,RT
65,lindabrown7777,KyleAnzalone_,RT
65,lindabrown7777,Freem,RT
65,lindabrown7777,Antiwarcom,RT
65,lindabrown7777,KyleAnzalone_,RT
65,lindabrown7777,Freem,RT
65,lindabrown7777,Antiwarcom,RT
65,lindabrown7777,KyleAnzalone_,RT
65,lindabrown7777,Freem,RT
66,lindabrown7777,Antiwarcom,RT
66,lindabrown7777,RonPaul,RT
66,lindabrown7777,Antiwarcom,RT
66,lindabrown7777,RonPaul,RT
67,ronaldobianque9,HugoBor73884636,RT
68,aniledodie,ArthurM40330824,RT
69,FabioGhironi,kajakallas,RT
70,Wmadall,rst_like,RT
71,au0481810206,ThanthiTV,Mention
73,FabioGhironi,kajakallas,RT
74,darealshadow,lesiavasylenko,RT
75,ungubunugu1274,RoINTEL,RT
76,IiiLandon,GordonGChang,RT
77,YouCanFoolMost,TycoonTom,RT
77,YouCanFoolMost,gatewaypundit,RT
77,YouCanFoolMost,TycoonTom,RT
77,YouCanFoolMost,gatewaypundit,RT
78,cosmila_2020,ChinasaNworu,RT
80,cookmonika2022,nexta_tv,RT
81,JohonanG,ThierryGooseBC,RT
82,MIKE131720,Finanzas_Times,RT
83,NaukatN,GNganjani,RT
84,paul_szafranski,GordonGChang,RT
85,lindabrown7777,Antiwarcom,RT
86,darealshadow,lesiavasylenko,RT
87,XAEA129,GeorgeSirdar,Mention
88,SaadaanT,GNganjani,RT
90,rubenrpduarte,igorsushko,RT
91,Crusader4Justi1,GeorgeSirdar,RT
92,pilthon666,JasonMBrodsky,RT
95,SaadaanT,crouchendcom,RT
96,Faulken87094189,igorsushko,RT
97,OrioliAlberto,igorsushko,RT
98,JudyWoods8,igorsushko,RT
99,anchorjiya,ABPNews,RT
99,anchorjiya,anchorjiya,RT
99,anchorjiya,ABPNews,RT
99,anchorjiya,anchorjiya,RT
100,AndriyBoguslav,EmineDzheppar,RT
100,AndriyBoguslav,coe,RT
100,AndriyBoguslav,Dunja_Mijatovic,RT
100,AndriyBoguslav,EmineDzheppar,RT
100,AndriyBoguslav,coe,RT
100,AndriyBoguslav,Dunja_Mijatovic,RT
100,AndriyBoguslav,EmineDzheppar,RT
100,AndriyBoguslav,coe,RT
100,AndriyBoguslav,Dunja_Mijatovic,RT
101,Voevoda_BY,oryxspioenkop,RT
103,Santin16Giorgio,sandumaiamd,Mention
104,VivekanandMaity,The5HbK,RT
105,BrotherLeeLuv,WhereisRussia,RT
106,klebebrasil,OnePaul87,RT
107,johnnyh92539958,YouTube,Mention
108,Amitochondrio,HannahBree72,RT
109,Carolho93444463,AlympiyaChowdh1,RT
110,OlehOstrowsky,lesiavasylenko,RT
111,tatersngravy_71,nyprepper1,Mention
111,tatersngravy_71,newsklw,Mention
111,tatersngravy_71,nyprepper1,Mention
111,tatersngravy_71,newsklw,Mention
112,deirtagge,ejmalrai,RT
113,deirtagge,ejmalrai,RT
114,LaylaGorka,nexta_tv,RT
115,MAMARTINEZNica,MAMARTINEZNica,RT
116,tommyT2T23,GordonGChang,RT
117,cleary_clearly,GordonGChang,RT
119,Santin16Giorgio,RaufHabibov,Mention
119,Santin16Giorgio,sandumaiamd,Mention
119,Santin16Giorgio,EmmanuelMacron,Mention
119,Santin16Giorgio,NATO,Mention
119,Santin16Giorgio,RaufHabibov,Mention
119,Santin16Giorgio,sandumaiamd,Mention
119,Santin16Giorgio,EmmanuelMacron,Mention
119,Santin16Giorgio,NATO,Mention
119,Santin16Giorgio,RaufHabibov,Mention
119,Santin16Giorgio,sandumaiamd,Mention
119,Santin16Giorgio,EmmanuelMacron,Mention
119,Santin16Giorgio,NATO,Mention
119,Santin16Giorgio,RaufHabibov,Mention
119,Santin16Giorgio,sandumaiamd,Mention
119,Santin16Giorgio,EmmanuelMacron,Mention
119,Santin16Giorgio,NATO,Mention
120,Richard24856748,lesiavasylenko,RT
121,jessecox1953,GordonGChang,RT
122,deltacrook,GordonGChang,RT
123,mfaulstone,halyapuff,RT
124,CorruptPunjab,ArthurM40330824,RT
125,DakotaSidwell,CBKNEWS121,RT
126,kyberskeble,nexta_tv,RT
127,deirtagge,ejmalrai,RT
127,deirtagge,EmmanuelMacron,RT
127,deirtagge,ejmalrai,RT
127,deirtagge,EmmanuelMacron,RT
128,karenchke,Wenyee_Lee,RT
128,karenchke,CommerceGov,RT
128,karenchke,Wenyee_Lee,RT
128,karenchke,CommerceGov,RT
129,1foreverseeking,amborin,RT
130,Shashan20797894,the_hindu,RT
131,JohnnyL55189795,Paul69405499,Mention
131,JohnnyL55189795,medialens,Mention
131,JohnnyL55189795,GeorgeMonbiot,Mention
131,JohnnyL55189795,Paul69405499,Mention
131,JohnnyL55189795,medialens,Mention
131,JohnnyL55189795,GeorgeMonbiot,Mention
131,JohnnyL55189795,Paul69405499,Mention
131,JohnnyL55189795,medialens,Mention
131,JohnnyL55189795,GeorgeMonbiot,Mention
134,chance4phun,GordonGChang,RT
135,SeanMConnolly,igorsushko,RT
136,CassandraMakhno,halyapuff,RT
137,yume6tsumi0,halyapuff,RT
138,ahlbaytrevive,richimedhurst,Mention
139,dragonfire55555,EmineDzheppar,RT
140,Guate_Inmortal_,GordonGChang,RT
141,GhoulPanza,GeorgeSirdar,RT
142,clauden48363105,Circonscripti18,RT
145,generalklaus1,Circonscripti18,RT
147,DonQuixote1950,JuliaDavisNews,RT
149,ronaldobianque9,HugoBor73884636,RT
150,AnneAnton3,halyapuff,RT
151,rohanku67440943,kaafir_indian,RT
151,rohanku67440943,NewsNation,RT
151,rohanku67440943,ZeeNews,RT
